Date reported,Ping Time(ms.),Provider,Source,Time collected,Time reported(PT)
17.Jul.2019,125.74,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,21:47
18.Jul.2019,125.54,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,02:13
18.Jul.2019,510.01,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,06:31
18.Jul.2019,1510.82,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,11:01
18.Jul.2019,1511.25,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,15:15
18.Jul.2019,1511.13,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,00:05
18.Jul.2019,125.4,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,04:26
18.Jul.2019,1510.91,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,08:32
18.Jul.2019,125.56,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,13:12
18.Jul.2019,125.42,Cox,Is it down right now?,Thu 18 Jul 2019 14:07:31,17:36
10.Jul.2019,4.89,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,19:30
11.Jul.2019,5.78,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,00:51
11.Jul.2019,4.8,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,05:27
11.Jul.2019,5.25,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,10:15
11.Jul.2019,5.35,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,15:09
10.Jul.2019,5.44,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,21:43
11.Jul.2019,5.95,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,03:04
11.Jul.2019,4.76,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,08:00
11.Jul.2019,5.45,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,12:25
11.Jul.2019,4.82,Xfinity,Is it down right now?,Thu 11 Jul 2019 14:42:08,17:19
17.Jul.2019,91.76,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,04:34
17.Jul.2019,90.39,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,14:41
17.Jul.2019,87.47,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,19:14
18.Jul.2019,87.3,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,08:52
18.Jul.2019,88.53,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,15:36
17.Jul.2019,87.73,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,07:48
17.Jul.2019,69.2,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,17:04
17.Jul.2019,87.49,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,21:30
18.Jul.2019,68.43,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,12:45
18.Jul.2019,71.64,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,17:36
17.Jul.2019,11.61,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,15:16
17.Jul.2019,7.39,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,19:35
18.Jul.2019,6.99,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,00:22
18.Jul.2019,6.96,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,05:52
18.Jul.2019,8.89,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,12:39
17.Jul.2019,7.45,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,17:19
17.Jul.2019,16.38,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,21:47
18.Jul.2019,7.09,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,02:52
18.Jul.2019,6.94,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,09:21
18.Jul.2019,12.64,T-Mobile,Is it down right now?,Thu 18 Jul 2019 13:47:59,14:50
10.Jul.2019,6.88,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,15:14
10.Jul.2019,6.84,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,21:24
11.Jul.2019,6.95,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,02:51
11.Jul.2019,7.29,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,10:41
11.Jul.2019,7.12,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,15:39
10.Jul.2019,7.02,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,17:28
11.Jul.2019,9.48,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,00:14
11.Jul.2019,6.75,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,06:12
11.Jul.2019,9.44,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,13:38
11.Jul.2019,7.94,T-Mobile,Is it down right now?,Thu 11 Jul 2019 14:46:18,18:07
04.Jul.2019,102.51,windstream,Is it down right now?,Thu 18 Jul 2019 13:34:23,20:42
08.Jul.2019,101.9,windstream,Is it down right now?,Thu 18 Jul 2019 13:34:23,17:21
10.Jul.2019,107.39,windstream,Is it down right now?,Thu 18 Jul 2019 13:34:23,05:51
