Date reported,Ping Time(ms.),Provider,Source,Time collected,Time reported(PT)
17.Jul.2019,91.76,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,04:34
17.Jul.2019,90.39,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,14:41
17.Jul.2019,87.47,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,19:14
18.Jul.2019,87.3,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,08:52
18.Jul.2019,88.53,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,15:36
17.Jul.2019,87.73,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,07:48
17.Jul.2019,69.2,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,17:04
17.Jul.2019,87.49,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,21:30
18.Jul.2019,68.43,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,12:45
18.Jul.2019,71.64,CenturyLink,Is it down right now?,Thu 18 Jul 2019 14:16:32,17:36
04.Jul.2019,102.51,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,20:42
08.Jul.2019,101.9,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,17:21
10.Jul.2019,107.39,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,05:51
12.Jul.2019,98.55,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,19:08
15.Jul.2019,104.35,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,03:43
07.Jul.2019,104.95,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,05:54
09.Jul.2019,98.06,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,16:45
12.Jul.2019,98.59,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,10:52
14.Jul.2019,98.48,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,06:33
18.Jul.2019,107.42,windstream,Is it down right now?,Thu 18 Jul 2019 14:16:32,01:38
17.Jul.2019,5.66,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,16:20
17.Jul.2019,5.36,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,22:19
18.Jul.2019,4.97,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,03:02
18.Jul.2019,4.9,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,07:08
18.Jul.2019,5.33,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,13:00
17.Jul.2019,5.18,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,19:25
18.Jul.2019,4.95,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,00:53
18.Jul.2019,6.47,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,05:08
18.Jul.2019,5.43,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,10:13
18.Jul.2019,5.43,Sprint,Is it down right now?,Thu 18 Jul 2019 14:16:32,15:29
12.Jul.2019,235.36,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,14:58
14.Jul.2019,233.04,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,23:06
16.Jul.2019,228.65,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,01:49
16.Jul.2019,230.38,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,07:55
18.Jul.2019,232.24,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,14:17
13.Jul.2019,228.8,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,18:45
15.Jul.2019,235.61,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,19:35
16.Jul.2019,230.17,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,04:04
16.Jul.2019,235.48,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,21:05
18.Jul.2019,231.5,MegaPath,Is it down right now?,Thu 18 Jul 2019 14:16:32,16:33
06.Jul.2019,40.5,RCN,Is it down right now?,Thu 18 Jul 2019 14:16:32,01:59
08.Jul.2019,43.45,RCN,Is it down right now?,Thu 18 Jul 2019 14:16:32,01:22
12.Jul.2019,44.83,RCN,Is it down right now?,Thu 18 Jul 2019 14:16:32,17:47
15.Jul.2019,43.27,RCN,Is it down right now?,Thu 18 Jul 2019 14:16:32,19:37
17.Jul.2019,38.29,RCN,Is it down right now?,Thu 18 Jul 2019 14:16:32,16:08
07.Jul.2019,38.05,RCN,Is it down right now?,Thu 18 Jul 2019 14:16:32,12:06
10.Jul.2019,39.1,RCN,Is it down right now?,Thu 18 Jul 2019 14:16:32,23:36
