Date collected,Location,Provider,Reports,Source,Status,Time collected
Thu 18 Jul 2019,"Omaha, NE",Mediacom,551,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Chicago, IL",Mediacom,522,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Des Moines, IA",Mediacom,248,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Minneapolis, MN",Mediacom,213,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Atlanta, GA",Mediacom,186,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Cedar Rapids, IA",Mediacom,161,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"St. Louis, MO",Mediacom,90,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"New Orleans, LA",Mediacom,88,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Camanche, IA",Mediacom,78,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"West Des Moines, IA",Mediacom,78,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Iowa City, IA",Mediacom,76,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Birmingham, AL",Mediacom,76,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Urbana, IL",Mediacom,75,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Saint Paul, MN",Mediacom,68,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Los Angeles, CA",Mediacom,59,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Columbus, GA",Mediacom,58,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Kansas City, MO",Mediacom,57,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Ankeny, IA",Mediacom,54,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"De Witt, IA",Mediacom,53,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Orlando, FL",Mediacom,49,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Milton, FL",Mediacom,47,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Ottumwa, IA",Mediacom,43,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Indianapolis, IN",Mediacom,42,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Council Bluffs, IA",Mediacom,41,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Bettendorf, IA",Mediacom,41,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Davenport, IA",Mediacom,40,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Kent, IL",Mediacom,39,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Washington, D.C., DC",Mediacom,38,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Dubuque, IA",Mediacom,38,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Brooklyn, NY",Mediacom,34,Is the service down,  Some problems detected ,14:05:37
Thu 18 Jul 2019,"Dallas, TX",DirecTV,57,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Los Angeles, CA",DirecTV,50,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Denver, CO",DirecTV,41,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Houston, TX",DirecTV,38,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Chicago, IL",DirecTV,33,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Phoenix, AZ",DirecTV,32,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"St. Louis, MO",DirecTV,29,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Austin, TX",DirecTV,29,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Charlotte, NC",DirecTV,24,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Atlanta, GA",DirecTV,24,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"San Antonio, TX",DirecTV,23,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"San Jose, CA",DirecTV,20,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"San Diego, CA",DirecTV,17,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Las Vegas, NV",DirecTV,16,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Minneapolis, MN",DirecTV,16,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Portland, OR",DirecTV,16,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Albuquerque, NM",DirecTV,15,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Colorado Springs, CO",DirecTV,14,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Kansas City, MO",DirecTV,13,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Sacramento, CA",DirecTV,13,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Brooklyn, NY",DirecTV,13,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Arlington, TX",DirecTV,13,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Indianapolis, IN",DirecTV,13,Is the service down,  Problems detected ,14:07:36
Thu 18 Jul 2019,"Tulsa, OK",DirecTV,13,Is the service down,  Problems detected ,14:07:36
