4G LTE not working,4G LTE speed issues,Cell service down,DSL internet out,DSL speed Internet down,Date,Dial-up internet down,Email reading issues,Email sending issues,Everything is down,How long ago,Internet speed issues,Issue,Landline problems,Location,Mobile app crashes,Mobile app not working,Other,Power out,Provider,Reports in last 20 minutes,Source,TV freezing,TV pixilation,Text sending problems,Time,Website down,WiFi down,WiFi speed issues,channels not working
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,34%,1h,0%,4G LTE not working,0%,Davison,0%,0%,0%,0%,sprint,1,Outage Report,0%,0%,21%,17:51:25,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,34%,1h,0%,Everything is down,0%,unknown,0%,0%,0%,0%,sprint,1,Outage Report,0%,0%,21%,17:51:25,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,34%,1h,0%,4G LTE not working,0%,Cockeysville,0%,0%,0%,0%,sprint,1,Outage Report,0%,0%,21%,17:51:25,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,34%,58m,0%,Text sending problems,0%,Fort Worth,0%,0%,0%,0%,sprint,1,Outage Report,0%,0%,21%,17:51:25,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,34%,52m,0%,Text sending problems,0%,Dallas,0%,0%,0%,0%,sprint,1,Outage Report,0%,0%,21%,17:51:25,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,34%,2m,0%,Everything is down,0%,Butler,0%,0%,0%,0%,sprint,1,Outage Report,0%,0%,21%,17:51:25,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,32%,1h,0%,Text sending problems,0%,Dallas,0%,0%,0%,0%,sprint,0,Outage Report,0%,0%,23%,17:48:48,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,32%,1h,0%,4G LTE not working,0%,Davison,0%,0%,0%,0%,sprint,0,Outage Report,0%,0%,23%,17:48:48,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,32%,1h,0%,Everything is down,0%,unknown,0%,0%,0%,0%,sprint,0,Outage Report,0%,0%,23%,17:48:48,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,32%,1h,0%,4G LTE not working,0%,Cockeysville,0%,0%,0%,0%,sprint,0,Outage Report,0%,0%,23%,17:48:48,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,32%,56m,0%,Text sending problems,0%,Fort Worth,0%,0%,0%,0%,sprint,0,Outage Report,0%,0%,23%,17:48:48,2%,0%,0%,0%
30%,0%,13%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,32%,49m,0%,Text sending problems,0%,Dallas,0%,0%,0%,0%,sprint,0,Outage Report,0%,0%,23%,17:48:48,2%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,0%,15h,20%,Internet down,0%,North Hollywood,0%,0%,0%,0%,time-warner-cable,0,Outage Report,0%,0%,0%,17:44:01,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,0%,8h,20%,Internet down,0%,Woodstock,0%,0%,0%,0%,time-warner-cable,0,Outage Report,0%,0%,0%,17:44:01,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,0%,6h,20%,Internet down,0%,Charlotte,0%,0%,0%,0%,time-warner-cable,0,Outage Report,0%,0%,0%,17:44:01,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,0%,6h,20%,Internet down,0%,Charlotte,0%,0%,0%,0%,time-warner-cable,0,Outage Report,0%,0%,0%,17:44:01,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,0%,1h,20%,Internet down,0%,unknown,0%,0%,0%,0%,time-warner-cable,0,Outage Report,0%,0%,0%,17:44:01,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,0%,58m,20%,Internet speed issues,0%,unknown,0%,0%,0%,0%,time-warner-cable,0,Outage Report,0%,0%,0%,17:44:01,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 11 Jul 2019,0%,0%,0%,0%,16h,0%,Internet down,0%,Elizabeth,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,18:35:56,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 11 Jul 2019,0%,0%,0%,0%,12h,0%,Internet down,0%,The Bronx,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,18:35:56,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 11 Jul 2019,0%,0%,0%,0%,11h,0%,Internet down,0%,unknown,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,18:35:56,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 11 Jul 2019,0%,0%,0%,0%,7h,0%,Internet down,0%,Springfield,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,18:35:56,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 11 Jul 2019,0%,0%,0%,0%,5h,0%,Internet down,0%,The Bronx,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,18:35:56,0%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,28%,4h,0%,Internet down,0%,Livingston,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,17:50:54,11%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,28%,3h,0%,Internet down,0%,The Bronx,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,17:50:54,11%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,28%,3h,0%,Internet down,0%,The Bronx,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,17:50:54,11%,0%,0%,0%
0%,0%,0%,0%,0%,Thu 18 Jul 2019,0%,0%,0%,28%,3h,0%,Internet down,0%,New York City,0%,0%,0%,0%,optimum-cablevision,0,Outage Report,0%,0%,0%,17:50:54,11%,0%,0%,0%
