Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
17.Jul.2019,04:34,91.76,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
17.Jul.2019,14:41,90.39,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
17.Jul.2019,19:14,87.47,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
18.Jul.2019,08:52,87.3,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
18.Jul.2019,15:36,88.53,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
17.Jul.2019,07:48,87.73,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
17.Jul.2019,17:04,69.2,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
17.Jul.2019,21:30,87.49,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
18.Jul.2019,12:45,68.43,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
18.Jul.2019,17:36,71.64,Thu 18 Jul 2019 14:09:16,Is it down right now?,CenturyLink
