Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,16:35,6.12,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
10.Jul.2019,21:35,5.55,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
11.Jul.2019,03:06,4.84,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
11.Jul.2019,07:46,5.65,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
11.Jul.2019,13:54,4.96,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
10.Jul.2019,19:27,4.85,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
11.Jul.2019,00:44,4.92,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
11.Jul.2019,05:35,4.92,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
11.Jul.2019,11:18,4.91,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
11.Jul.2019,16:12,4.89,Thu 11 Jul 2019 14:47:42,Is it down right now?,Comcast
