Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,20:32,1511.18,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,00:47,1511.55,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,04:54,1510.95,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,12:15,125.36,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,16:34,510.04,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
10.Jul.2019,22:41,1511.22,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,02:48,125.46,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,07:16,125.36,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,14:27,1511.16,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
11.Jul.2019,18:38,61.18,Thu 11 Jul 2019 14:45:42,Is it down right now?,Cox
