Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,00:22,5.16,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
10.Jul.2019,08:44,6.33,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
10.Jul.2019,15:56,6.52,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
11.Jul.2019,00:03,6.93,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
11.Jul.2019,14:26,6.49,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
10.Jul.2019,02:45,5.8,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
10.Jul.2019,12:55,6.63,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
10.Jul.2019,19:10,6.36,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
11.Jul.2019,10:55,6.04,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
11.Jul.2019,18:02,6.9,Thu 11 Jul 2019 14:47:42,Is it down right now?,DirecTV
