Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
17.Jul.2019,16:38,83.81,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
17.Jul.2019,20:44,100.12,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
18.Jul.2019,01:38,81.22,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
18.Jul.2019,06:32,82.19,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
18.Jul.2019,12:50,77.76,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
17.Jul.2019,18:41,86.12,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
17.Jul.2019,22:48,84.67,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
18.Jul.2019,03:49,81.37,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
18.Jul.2019,09:05,82.12,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
18.Jul.2019,16:55,79.72,Thu 18 Jul 2019 13:51:08,Is it down right now?,Frontier
