Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,00:57,260.52,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
11.Jul.2019,08:16,260.63,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
12.Jul.2019,15:50,260.18,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
16.Jul.2019,16:55,260.6,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
17.Jul.2019,15:28,259.91,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
10.Jul.2019,06:05,260.06,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
12.Jul.2019,10:12,266.22,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
16.Jul.2019,05:11,259.66,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
17.Jul.2019,08:19,261.69,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
17.Jul.2019,21:42,260.07,Thu 18 Jul 2019 13:32:05,Is it down right now?,Mediacom
