Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
05.Jul.2019,06:24,217.24,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
06.Jul.2019,09:06,215.2,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
08.Jul.2019,10:13,215.7,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
09.Jul.2019,17:20,219.45,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
10.Jul.2019,12:09,235.34,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
05.Jul.2019,16:39,216.2,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
07.Jul.2019,14:34,216.43,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
08.Jul.2019,12:37,217.0,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
09.Jul.2019,21:32,216.21,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
11.Jul.2019,11:38,230.77,Thu 11 Jul 2019 14:42:08,Is it down right now?,MegaPath
