Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,16:41,5.44,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
10.Jul.2019,20:50,5.04,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
11.Jul.2019,02:48,5.43,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
11.Jul.2019,08:48,14.31,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
11.Jul.2019,14:02,5.17,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
10.Jul.2019,18:41,6.1,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
11.Jul.2019,00:14,5.72,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
11.Jul.2019,06:04,6.02,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
11.Jul.2019,12:02,5.52,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
11.Jul.2019,16:41,5.25,Thu 11 Jul 2019 14:38:18,Is it down right now?,MetroPCS
