Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
06.Jul.2019,01:59,40.5,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
08.Jul.2019,01:22,43.45,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
12.Jul.2019,17:47,44.83,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
15.Jul.2019,19:37,43.27,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
17.Jul.2019,16:08,38.29,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
07.Jul.2019,12:06,38.05,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
10.Jul.2019,23:36,39.1,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
13.Jul.2019,17:25,36.18,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
17.Jul.2019,00:25,47.43,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
17.Jul.2019,21:06,43.23,Thu 18 Jul 2019 13:48:32,Is it down right now?,RCN
