Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
17.Jul.2019,01:03,34.52,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
17.Jul.2019,15:06,31.06,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
17.Jul.2019,19:51,31.7,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
18.Jul.2019,00:05,36.25,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
18.Jul.2019,13:48,36.85,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
17.Jul.2019,06:04,35.1,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
17.Jul.2019,17:40,30.22,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
17.Jul.2019,21:53,32.46,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
18.Jul.2019,03:40,32.27,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
18.Jul.2019,15:55,34.73,Thu 18 Jul 2019 13:50:37,Is it down right now?,Suddenlink
