Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
17.Jul.2019,15:16,11.61,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
17.Jul.2019,19:35,7.39,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
18.Jul.2019,00:22,6.99,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
18.Jul.2019,05:52,6.96,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
18.Jul.2019,12:39,8.89,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
17.Jul.2019,17:19,7.45,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
17.Jul.2019,21:47,16.38,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
18.Jul.2019,02:52,7.09,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
18.Jul.2019,09:21,6.94,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
18.Jul.2019,14:50,12.64,Thu 18 Jul 2019 13:48:32,Is it down right now?,T-Mobile
