Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,19:30,4.89,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,00:51,5.78,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,05:27,4.8,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,10:15,5.25,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,15:09,5.35,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
10.Jul.2019,21:43,5.44,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,03:04,5.95,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,08:00,4.76,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,12:25,5.45,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
11.Jul.2019,17:19,4.82,Thu 11 Jul 2019 14:46:18,Is it down right now?,Xfinity
