Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,22:16,4.72,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,02:23,4.74,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,06:37,7.89,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,10:40,5.22,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,15:06,4.81,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,00:16,5.51,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,04:24,4.82,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,08:38,4.74,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,12:54,4.83,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
11.Jul.2019,17:12,4.91,Thu 11 Jul 2019 14:45:42,Is it down right now?,att
