Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,14:05,5.19,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
10.Jul.2019,19:31,5.44,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
11.Jul.2019,00:47,5.06,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
11.Jul.2019,07:50,6.37,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
11.Jul.2019,13:32,5.14,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
10.Jul.2019,17:09,4.88,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
10.Jul.2019,21:46,5.05,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
11.Jul.2019,03:49,5.14,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
11.Jul.2019,10:42,5.0,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
11.Jul.2019,17:35,5.79,Thu 11 Jul 2019 14:45:42,Is it down right now?,Sprint
