Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
10.Jul.2019,18:36,9.99,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,00:31,9.99,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,05:45,10.37,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,11:03,9.69,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,15:56,11.39,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
10.Jul.2019,20:39,11.31,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,03:39,9.99,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,08:43,10.1,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,13:32,10.0,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
11.Jul.2019,17:59,10.18,Thu 11 Jul 2019 14:47:42,Is it down right now?,verizon
