Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
04.Jul.2019,20:42,102.51,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
08.Jul.2019,17:21,101.9,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
10.Jul.2019,05:51,107.39,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
12.Jul.2019,19:08,98.55,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
15.Jul.2019,03:43,104.35,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
07.Jul.2019,05:54,104.95,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
09.Jul.2019,16:45,98.06,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
12.Jul.2019,10:52,98.59,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
14.Jul.2019,06:33,98.48,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
18.Jul.2019,01:38,107.42,Thu 18 Jul 2019 13:27:08,Is it down right now?,windstream
