Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
17.Jul.2019,17:11,4.98,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
17.Jul.2019,21:59,5.83,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
18.Jul.2019,02:23,5.14,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
18.Jul.2019,08:08,5.39,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
18.Jul.2019,14:20,5.95,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
17.Jul.2019,19:43,6.25,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
18.Jul.2019,00:16,4.89,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
18.Jul.2019,05:01,5.72,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
18.Jul.2019,11:57,5.27,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
18.Jul.2019,16:32,4.98,Thu 18 Jul 2019 14:16:32,Is it down right now?,Xfinity
