Date reported,Time reported(PT),Ping Time(ms.),Time collected,Source,Provider
17.Jul.2019,16:20,5.66,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
17.Jul.2019,22:19,5.36,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
18.Jul.2019,03:02,4.97,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
18.Jul.2019,07:08,4.9,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
18.Jul.2019,13:00,5.33,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
17.Jul.2019,19:25,5.18,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
18.Jul.2019,00:53,4.95,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
18.Jul.2019,05:08,6.47,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
18.Jul.2019,10:13,5.43,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
18.Jul.2019,15:29,5.43,Thu 18 Jul 2019 14:16:32,Is it down right now?,Sprint
