Location,Reports,Status,Provider,Source,Date collected,Time collected
"Arlington, VA",21,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Brooklyn, NY",21,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Washington, D.C., DC",20,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Alexandria, VA",16,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Philadelphia, PA",15,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Atlanta, GA",13,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Miami, FL",13,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"New York City, NY",12,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Warren, PA",12,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Aiken, SC",11,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Boston, MA",10,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Greensburg, PA",10,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Springfield, VA",8,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Hampstead, MD",8,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Altoona, PA",5,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Falls Church, VA",5,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Miami Beach, FL",5,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"King George, VA",5,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Woodbridge, VA",5,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Baltimore, MD",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Virginia Beach, VA",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Vienna, VA",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"The Bronx, NY",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Lexington Park, MD",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Pawtucket, RI",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Cambridge, MA",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Glen Burnie, MD",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Silver Spring, MD",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Pittsburgh, PA",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
"Barrington, NH",4,  No problems detected ,Atlantic-Broadband,Is the service down,Thu 18 Jul 2019,14:09:21
