Location,Reports,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",17,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Los Angeles, CA",13,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Salt Lake City, UT",13,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Phoenix, AZ",13,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Albuquerque, NM",9,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Austin, TX",7,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Lakewood, CA",6,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Pocatello, ID",6,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Meridian, ID",5,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Minneapolis, MN",5,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Mesquite, TX",5,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Oklahoma City, OK",5,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Las Vegas, NV",5,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"San Antonio, TX",5,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Federal Way, WA",5,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Prescott, AZ",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Kansas City, MO",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Houston, TX",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Rio Rancho, NM",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Idaho Falls, ID",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"El Paso, TX",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Herriman, UT",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Sandy, UT",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Caldwell, ID",4,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Chicago, IL",3,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Boise, ID",3,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Gilbert, AZ",3,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Sioux City, IA",3,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Willow Spring, AZ",3,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
"Fort Worth, TX",3,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,12:37:17
