Location,Reports,Status,Provider,Source,Date collected,Time collected
"Denver, CO",341,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Seattle, WA",263,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Omaha, NE",242,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Los Angeles, CA",219,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Chicago, IL",216,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Portland, OR",203,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Dallas, TX",195,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Salt Lake City, UT",191,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Minneapolis, MN",189,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Phoenix, AZ",168,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Las Vegas, NV",132,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Des Moines, IA",95,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Orlando, FL",95,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Saint Paul, MN",85,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Albuquerque, NM",81,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Atlanta, GA",80,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Charlotte, NC",69,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Herriman, UT",47,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Federal Way, WA",46,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Mesquite, TX",40,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Kansas City, MO",39,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Houston, TX",39,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Cedar Rapids, IA",38,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Boise, ID",37,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Allen, TX",36,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Lakewood, CA",36,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Tacoma, WA",36,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Sandy, UT",34,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"St. Louis, MO",33,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
"Mesa, AZ",33,  Problems detected ,CenturyLink,Is the service down,Thu 18 Jul 2019,14:09:21
