Location,Reports,Status,Provider,Source,Date collected,Time collected
"Brooklyn, NY",19,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Dallas, TX",19,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Houston, TX",17,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Phoenix, AZ",14,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Galveston, TX",11,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Newberry, SC",8,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Mission, TX",8,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Williston, ND",7,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Minot, ND",7,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Denver, CO",6,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Pharr, TX",5,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Nashville, TN",4,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Tempe, AZ",4,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Corpus Christi, TX",4,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Ashtabula, OH",4,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Greeley, CO",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Hampstead, NC",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Seattle, WA",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Atlanta, GA",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Washington, D.C., DC",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Los Angeles, CA",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"San Antonio, TX",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Compton, CA",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Albuquerque, NM",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Beeville, TX",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Cresson, TX",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Baltimore, MD",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Benton, AR",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"Bishop, TX",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
"St. Louis, MO",3,  Some problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,12:39:19
