Location,Reports,Phone,Internet,TotalBlackout,E-mail,Wi-fi,TV,Status,Provider,Source,Date collected,Time collected
"Brooklyn, NY",19,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",19,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",17,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Phoenix, AZ",14,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Galveston, TX",11,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Newberry, SC",8,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Mission, TX",8,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Williston, ND",7,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Minot, ND",7,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Denver, CO",6,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Pharr, TX",5,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Nashville, TN",4,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Tempe, AZ",4,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Corpus Christi, TX",4,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Ashtabula, OH",4,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Greeley, CO",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Hampstead, NC",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Seattle, WA",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"San Antonio, TX",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Compton, CA",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Albuquerque, NM",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Beeville, TX",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Cresson, TX",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Baltimore, MD",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Benton, AR",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"Bishop, TX",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
"St. Louis, MO",3,53.16%,28.95%,11.58%,4.21%,1.58%,.53%,  No problems detected ,Cricket-Wireless,Is the service down,Tue 23 Jul 2019,13:10:32
