Location,Reports,Status,Provider,Source,Date collected,Time collected
"Los Angeles, CA",10,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Dallas, TX",9,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Houston, TX",9,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Chicago, IL",8,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Phoenix, AZ",6,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Albuquerque, NM",5,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Denver, CO",5,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Columbus, OH",4,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Gresham, OR",4,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Colville, WA",4,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Las Vegas, NV",4,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Tucson, AZ",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Nashville, TN",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Montrose, CO",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Colorado Springs, CO",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Kansas City, MO",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Eugene, OR",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Mesa, AZ",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Des Moines, IA",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Fort Worth, TX",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Charlotte, NC",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Austin, TX",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Danville, CA",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Tacoma, WA",3,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Mount Pleasant, MI",2,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Arlington, TX",2,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Grand Junction, CO",2,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Red Oak, TX",2,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Joplin, MO",2,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
"Salt Lake City, UT",2,  No problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,12:57:43
