Location,Reports,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",280,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Tampa, FL",211,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Los Angeles, CA",185,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Chicago, IL",111,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Seattle, WA",103,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Portland, OR",103,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Orlando, FL",72,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Atlanta, GA",44,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Whittier, CA",38,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Indianapolis, IN",36,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Irving, TX",33,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Mesquite, TX",32,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Washington, D.C., DC",31,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Riverview, FL",30,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Fort Worth, TX",30,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Arlington, TX",29,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Sarasota, FL",28,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"New York City, NY",27,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Fort Wayne, IN",27,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Miami, FL",26,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Brooklyn, NY",25,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Detroit, MI",24,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Norwalk, CA",24,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Riverside, CA",24,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Fort Lauderdale, FL",24,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Garland, TX",23,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Allen, TX",23,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Philadelphia, PA",22,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Irvine, CA",20,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
"Santa Ana, CA",20,  Problems detected ,Frontier,Is the service down,Thu 18 Jul 2019,14:05:37
