Location,Reports,Status,Provider,Source,Date collected,Time collected
"Houston, TX",13,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Atlanta, GA",10,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Chicago, IL",10,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Kansas City, MO",10,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Kansas City, KS",8,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Olathe, KS",7,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Austin, TX",5,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"St. Louis, MO",4,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Overland Park, KS",4,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Lee's Summit, MO",4,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Charlotte, NC",3,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Lenexa, KS",3,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"San Antonio, TX",3,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Independence, MO",3,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Raleigh, NC",2,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Morrisville, NC",2,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Salt Lake City, UT",2,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Irvine, CA",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Shawnee, KS",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Indianapolis, IN",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Cleveland, OH",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Knoxville, TN",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Lockport, NY",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Durham, NC",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Dallas, TX",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Blue Springs, MO",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Marietta, GA",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Prairie Village, KS",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Grandview, MO",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
"Greensboro, NC",1,  No problems detected ,Google-Fiber,Is the service down,Thu 18 Jul 2019,14:09:21
