Location,Reports,Status,Provider,Source,Date collected,Time collected
"Omaha, NE",572,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Chicago, IL",499,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Des Moines, IA",265,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Minneapolis, MN",245,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Atlanta, GA",189,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Cedar Rapids, IA",173,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"New Orleans, LA",91,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Camanche, IA",90,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"St. Louis, MO",88,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"West Des Moines, IA",86,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Urbana, IL",85,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Saint Paul, MN",81,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Los Angeles, CA",81,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Iowa City, IA",78,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Birmingham, AL",75,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"De Witt, IA",66,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Kansas City, MO",62,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Columbus, GA",59,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Ankeny, IA",57,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Ottumwa, IA",51,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Milton, FL",51,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Orlando, FL",50,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Kent, IL",48,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Council Bluffs, IA",44,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Davenport, IA",43,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Washington, D.C., DC",41,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Brooklyn, NY",40,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Elkhorn, NE",39,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Ames, IA",39,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
"Bettendorf, IA",38,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,12:39:19
