Location,Reports,Status,Provider,Source,Date collected,Time collected
"Chicago, IL",162,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Philadelphia, PA",100,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Washington, D.C., DC",84,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Brooklyn, NY",78,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"New York City, NY",67,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"The Bronx, NY",42,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Bethlehem, PA",24,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Allentown, PA",23,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Silver Spring, MD",19,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Greenbelt, MD",14,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Boston, MA",12,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Columbia, MD",11,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Astoria, NY",8,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Easton, PA",8,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Somerville, MA",8,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Waltham, MA",7,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Brookline, MA",6,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Macungie, PA",6,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Northampton, PA",6,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Providence, RI",6,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Cambridge, MA",5,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Upper Darby, PA",5,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Urbana, IL",5,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Roxbury, MA",5,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Plymouth Meeting, PA",5,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Baltimore, MD",5,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Mattapan, MA",5,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Watertown, MA",4,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Woodside, NY",4,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
"Cementon, PA",4,  No problems detected ,RCN,Is the service down,Thu 18 Jul 2019,14:06:47
