Location,Reports,Internet,Phone,Wi-fi,TotalBlackout,E-mail,TV,Status,Provider,Source,Date collected,Time collected
"Chicago, IL",168,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Philadelphia, PA",118,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",99,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",92,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"New York City, NY",78,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"The Bronx, NY",50,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Bethlehem, PA",26,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Greenbelt, MD",26,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Allentown, PA",25,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Silver Spring, MD",19,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Boston, MA",12,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Plymouth Meeting, PA",10,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Providence, RI",8,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Astoria, NY",8,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Easton, PA",8,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Macungie, PA",7,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Waltham, MA",7,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Upper Darby, PA",6,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Brookline, MA",6,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Somerville, MA",6,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Mountain View, CA",5,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Taunton, MA",5,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Upper Marlboro, MD",5,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Northampton, PA",5,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Woodside, NY",5,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Cambridge, MA",5,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Urbana, IL",5,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Baltimore, MD",4,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Dorchester, MA",4,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
"Harleysville, PA",4,70.88%,9.79%,6.21%,5.97%,3.58%,3.58%,  No problems detected ,RCN,Is the service down,Tue 23 Jul 2019,13:10:32
