Location,Reports,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",737,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Houston, TX",538,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Allen, TX",103,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Mesquite, TX",92,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Washington, D.C., DC",89,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Austin, TX",86,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Oklahoma City, OK",68,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Fort Worth, TX",68,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Garland, TX",67,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Memphis, TN",64,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Chicago, IL",63,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Kansas City, MO",56,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Greenbelt, MD",56,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Amarillo, TX",50,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Charleston, WV",48,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Flagstaff, AZ",45,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Los Angeles, CA",40,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Charlotte, NC",36,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Arlington, TX",35,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Irving, TX",34,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Greensburg, PA",33,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Phoenix, AZ",32,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Sacramento, CA",32,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"San Antonio, TX",32,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"St. Louis, MO",29,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"College Station, TX",27,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Paris, TX",26,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Silver Spring, MD",25,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Tyler, TX",23,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
"Philadelphia, PA",23,  Problems detected ,Suddenlink,Is the service down,Thu 18 Jul 2019,14:05:37
