Location,Reports,Status,Provider,Source,Date collected,Time collected
"Long Beach, CA",105,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Houston, TX",95,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Los Angeles, CA",81,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Chicago, IL",76,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Dallas, TX",52,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Philadelphia, PA",51,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Seattle, WA",50,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Denver, CO",49,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Portland, OR",45,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Austin, TX",42,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Brooklyn, NY",41,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Orlando, FL",40,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"The Bronx, NY",39,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"San Antonio, TX",32,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Minneapolis, MN",31,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"New York City, NY",26,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Atlanta, GA",26,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Sacramento, CA",26,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Tampa, FL",25,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"San Diego, CA",24,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Washington, D.C., DC",23,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Detroit, MI",23,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Las Vegas, NV",22,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Miami, FL",21,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"San Francisco, CA",19,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Cleveland, OH",19,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Manhattan, NY",19,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Saint Paul, MN",18,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"San Jose, CA",18,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
"Charlotte, NC",17,  Problems detected ,T-Mobile,Is the service down,Thu 18 Jul 2019,14:09:21
