Location,Reports,Status,Provider,Source,Date collected,Time collected
"Manitowoc, WI",12,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Cedar Rapids, IA",7,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Madison, WI",4,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Des Moines, IA",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"De Witt, IA",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Camanche, IA",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Rumford, ME",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Berkeley Springs, WV",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Grants Pass, OR",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Milwaukee, WI",3,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Clinton, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Bettendorf, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"La Crosse, WI",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Waterloo, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Pella, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Urbandale, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Asheville, NC",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Ottumwa, IA",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Medford, OR",2,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"New London, NH",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Eugene, OR",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Joplin, MO",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Beaver Dam, WI",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Springfield, OR",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"McAlester, OK",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Dixon, IA",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Alexandria, VA",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Orlando, FL",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Robersonville, NC",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
"Cecil, WI",1,  No problems detected ,US-cellular,Is the service down,Mon 22 Jul 2019,23:19:16
