Location,Reports,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",1224,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Houston, TX",846,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Chicago, IL",694,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Atlanta, GA",678,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Los Angeles, CA",337,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Charlotte, NC",306,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Cleveland, OH",220,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Miami, FL",214,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Austin, TX",203,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Mesquite, TX",197,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Allen, TX",170,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Kansas City, MO",167,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Orlando, FL",147,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Detroit, MI",145,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Roseville, MI",141,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Hayward, CA",140,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Fort Worth, TX",136,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"San Antonio, TX",133,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Indianapolis, IN",124,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"St. Louis, MO",115,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Oklahoma City, OK",111,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"San Clemente, CA",111,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Fort Lauderdale, FL",109,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Brooklyn, NY",107,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"New York City, NY",105,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Sacramento, CA",102,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"San Francisco, CA",99,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Nashville, TN",95,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Garland, TX",95,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
"Arlington, TX",92,  Problems detected ,att,Is the service down,Mon 22 Jul 2019,23:18:32
