Location,Reports,Status,Provider,Source,Date collected,Time collected
"Charlotte, NC",2452,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Los Angeles, CA",2415,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Dallas, TX",2334,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Chicago, IL",1741,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Brooklyn, NY",1603,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Houston, TX",1339,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Atlanta, GA",1307,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Orlando, FL",1040,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"New York City, NY",806,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Tampa, FL",756,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Detroit, MI",648,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Austin, TX",638,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Kansas City, MO",609,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Cleveland, OH",486,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"San Antonio, TX",480,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Dayton, OH",473,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"St. Louis, MO",466,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Raleigh, NC",418,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Buffalo, NY",416,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Indianapolis, IN",393,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Akron, OH",369,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"The Bronx, NY",367,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Louisville, KY",361,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Cincinnati, OH",350,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Fort Worth, TX",331,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Minneapolis, MN",307,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Roseville, MI",289,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Seattle, WA",280,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Honolulu, HI",280,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
"Sacramento, CA",275,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,12:54:08
