Location,Reports,Internet,TV,E-mail,TotalBlackout,Wi-fi,Phone,Status,Provider,Source,Date collected,Time collected
"Brooklyn, NY",1622,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"The Bronx, NY",668,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"New York City, NY",620,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Newark, NJ",119,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Edison, NJ",47,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Stamford, CT",37,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Philadelphia, PA",34,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Wayne, NJ",33,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Clifton, NJ",27,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Teaneck, NJ",26,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"New Rochelle, NY",26,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",26,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Baltimore, MD",23,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Yonkers, NY",22,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Jersey City, NJ",20,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Norwalk, CT",20,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Secaucus, NJ",19,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Hoboken, NJ",19,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"East Rutherford, NJ",18,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Madison, NJ",18,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Bronx, NY",17,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Livingston, NJ",16,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Carlstadt, NJ",16,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Valley Stream, NY",15,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Massapequa, NY",15,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Milford, CT",15,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Westport, CT",14,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Upper Marlboro, MD",14,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"West New York, NJ",13,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
"Long Beach, NY",13,45.67%,24.90%,12.97%,7.48%,6.05%,2.92%,  Problems detected ,optimum-cablevision,Is the service down,Tue 23 Jul 2019,13:10:32
