Location,Reports,Phone,Internet,TotalBlackout,E-mail,Wi-fi,TV,Status,Provider,Source,Date collected,Time collected
"Chicago, IL",138,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",121,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",101,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",82,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",73,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Detroit, MI",72,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",69,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",67,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",64,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",52,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"St. Louis, MO",44,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",42,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Philadelphia, PA",41,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Indianapolis, IN",36,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Westland, MI",33,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Omaha, NE",32,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"New York City, NY",29,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Worth, TX",28,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Brazil, IN",27,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Phoenix, AZ",25,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Baltimore, MD",25,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Akron, OH",23,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Upper Marlboro, MD",23,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Minneapolis, MN",21,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Farmington, MI",21,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"San Antonio, TX",21,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Plymouth Meeting, PA",20,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Newark, NJ",19,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Denver, CO",19,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Lauderdale, FL",18,48.43%,33.75%,8.42%,5.55%,2.86%,.98%,  Problems detected ,Sprint,Is the service down,Tue 23 Jul 2019,13:10:32
