Location,Reports,Status,Provider,Source,Date collected,Time collected
"Washington, D.C., DC",678,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Brooklyn, NY",571,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"New York City, NY",427,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Philadelphia, PA",415,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"The Bronx, NY",211,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Greenbelt, MD",153,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Denver, CO",149,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Chicago, IL",143,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Silver Spring, MD",139,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Los Angeles, CA",130,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Arlington, VA",119,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Tampa, FL",117,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Pittsburgh, PA",114,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Dallas, TX",113,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Baltimore, MD",112,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Houston, TX",109,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Atlanta, GA",99,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Virginia Beach, VA",96,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Richmond, VA",93,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Alexandria, VA",92,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Seattle, WA",86,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Portland, OR",84,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Newark, NJ",76,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Charlotte, NC",75,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Hyattsville, MD",68,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Buffalo, NY",62,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Orlando, FL",49,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Upper Marlboro, MD",48,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Belford, NJ",44,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
"Roanoke, VA",42,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,12:37:17
