Location,Reports,Phone,Internet,E-mail,TV,TotalBlackout,Wi-fi,Status,Provider,Source,Date collected,Time collected
"Washington, D.C., DC",679,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",572,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"New York City, NY",427,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Philadelphia, PA",415,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"The Bronx, NY",211,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Greenbelt, MD",153,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Denver, CO",149,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",143,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Silver Spring, MD",139,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",130,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Arlington, VA",119,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Tampa, FL",117,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Pittsburgh, PA",114,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",113,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Baltimore, MD",112,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",109,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",99,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Virginia Beach, VA",96,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Richmond, VA",93,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Alexandria, VA",92,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Seattle, WA",86,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Portland, OR",84,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Newark, NJ",76,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",75,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Hyattsville, MD",68,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Buffalo, NY",62,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",50,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Upper Marlboro, MD",48,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Belford, NJ",44,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
"Roanoke, VA",42,40.27%,35.24%,6.77%,6.31%,6.21%,5.20%,  Problems detected ,Verizon,Is the service down,Tue 23 Jul 2019,13:10:32
