Location,Reports,Status,Provider,Source,Date collected,Time collected
"Atlanta, GA",155,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Houston, TX",47,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Charlotte, NC",37,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Dallas, TX",33,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Lincoln, NE",22,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Cleveland, OH",21,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Louisville, KY",19,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Omaha, NE",18,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Brooklyn, NY",16,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Chicago, IL",16,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Kansas City, MO",15,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Orlando, FL",15,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Washington, D.C., DC",14,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Roseville, MI",13,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Austin, TX",12,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Greenbelt, MD",11,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Newberry, SC",9,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Manlius, NY",9,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Decatur, GA",9,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Nicholasville, KY",9,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Birmingham, AL",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Snellville, GA",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Oklahoma City, OK",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Allen, TX",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Jefferson, GA",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Philadelphia, PA",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Indianapolis, IN",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Cedar Rapids, IA",8,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"Columbus, GA",7,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
"London, KY",7,  No problems detected ,windstream,Is the service down,Mon 22 Jul 2019,23:19:42
