Location,Reports,Internet,Phone,Wi-fi,E-mail,TV,TotalBlackout,Status,Provider,Source,Date collected,Time collected
"Atlanta, GA",156,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",47,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",39,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",33,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Lincoln, NE",22,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Cleveland, OH",21,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Louisville, KY",19,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Omaha, NE",17,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",16,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",15,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",14,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",14,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Austin, TX",13,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Roseville, MI",13,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",13,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Greenbelt, MD",12,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Newberry, SC",9,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Manlius, NY",9,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Nicholasville, KY",9,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Lexington, KY",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Birmingham, AL",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Snellville, GA",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Oklahoma City, OK",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Allen, TX",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Jefferson, GA",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Philadelphia, PA",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Decatur, GA",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Indianapolis, IN",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Cedar Rapids, IA",8,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
"Columbus, GA",7,66.39%,15.00%,7.78%,6.11%,2.50%,2.22%,  No problems detected ,windstream,Is the service down,Tue 23 Jul 2019,13:10:32
