Location,Reports,Internet,TotalBlackout,Phone,Wi-fi,TV,E-mail,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",17,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",13,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Salt Lake City, UT",13,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Phoenix, AZ",13,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Albuquerque, NM",9,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Austin, TX",7,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Lakewood, CA",6,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Pocatello, ID",6,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Meridian, ID",5,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Minneapolis, MN",5,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Mesquite, TX",5,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Oklahoma City, OK",5,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Las Vegas, NV",5,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"San Antonio, TX",5,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Federal Way, WA",5,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Prescott, AZ",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Rio Rancho, NM",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Idaho Falls, ID",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"El Paso, TX",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Herriman, UT",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Sandy, UT",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Caldwell, ID",4,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",3,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Boise, ID",3,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Gilbert, AZ",3,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Sioux City, IA",3,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Willow Spring, AZ",3,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Worth, TX",3,80.83%,5.00%,5.00%,4.17%,4.17%,.83%,  No problems detected ,Cable-ONE,Is the service down,Tue 23 Jul 2019,13:10:32
