Location,Reports,Internet,Phone,Wi-fi,E-mail,TotalBlackout,TV,Status,Provider,Source,Date collected,Time collected
"Denver, CO",341,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Seattle, WA",271,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Minneapolis, MN",251,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Omaha, NE",249,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",244,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",233,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Portland, OR",205,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",184,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Salt Lake City, UT",179,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Phoenix, AZ",176,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Las Vegas, NV",128,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Saint Paul, MN",116,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",98,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Des Moines, IA",96,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Albuquerque, NM",88,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",80,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",61,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",49,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Cedar Rapids, IA",49,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Federal Way, WA",49,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Herriman, UT",47,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",45,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Mesquite, TX",44,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",40,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Urbana, IL",39,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Lakewood, CA",38,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Boise, ID",38,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Allen, TX",38,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"South Jordan, UT",37,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
"Gilbert, AZ",35,76.19%,8.40%,7.14%,3.89%,3.62%,.77%,  No problems detected ,CenturyLink,Is the service down,Tue 23 Jul 2019,13:10:32
