Location,Reports,TV,TotalBlackout,Internet,E-mail,Wi-fi,Phone,Status,Provider,Source,Date collected,Time collected
"Dallas, TX",61,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",55,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",39,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",38,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Denver, CO",38,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Phoenix, AZ",35,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Austin, TX",33,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",28,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"St. Louis, MO",27,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"San Antonio, TX",24,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",23,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"San Jose, CA",20,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"San Diego, CA",18,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Las Vegas, NV",17,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Minneapolis, MN",17,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Portland, OR",16,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Indianapolis, IN",16,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Sacramento, CA",15,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",15,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Colorado Springs, CO",15,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Albuquerque, NM",15,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Tucson, AZ",14,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",13,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Concord, CA",13,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Lauderdale, FL",13,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Detroit, MI",12,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Philadelphia, PA",12,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Worth, TX",12,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Rochester, NY",12,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",11,81.93%,9.16%,5.78%,1.69%,.72%,.72%,  Problems detected ,DirecTV,Is the service down,Tue 23 Jul 2019,13:10:32
