Location,Reports,TV,TotalBlackout,Internet,Wi-fi,Status,Provider,Source,Date collected,Time collected
"Los Angeles, CA",10,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",9,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",9,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",8,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Phoenix, AZ",6,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Albuquerque, NM",5,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Denver, CO",5,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Columbus, OH",4,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Gresham, OR",4,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Colville, WA",4,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Las Vegas, NV",4,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Tucson, AZ",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Nashville, TN",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Montrose, CO",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Colorado Springs, CO",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Eugene, OR",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Mesa, AZ",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Des Moines, IA",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Worth, TX",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Austin, TX",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Danville, CA",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Tacoma, WA",3,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Mount Pleasant, MI",2,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Arlington, TX",2,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Grand Junction, CO",2,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Red Oak, TX",2,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Joplin, MO",2,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
"Salt Lake City, UT",2,75.76%,15.15%,6.06%,3.03%,  Problems detected ,Dish-Network,Is the service down,Tue 23 Jul 2019,13:10:32
