Location,Reports,Internet,TotalBlackout,E-mail,Wi-fi,TV,Phone,Status,Provider,Source,Date collected,Time collected
"Houston, TX",12,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",11,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",11,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",9,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, KS",7,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Olathe, KS",6,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Overland Park, KS",5,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Austin, TX",5,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"St. Louis, MO",4,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Lee's Summit, MO",4,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Charlotte, NC",3,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Irvine, CA",3,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"San Antonio, TX",3,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Independence, MO",3,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Santa Ana, CA",2,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Shawnee, KS",2,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Lenexa, KS",2,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Raleigh, NC",2,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Salt Lake City, UT",2,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Anaheim, CA",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Riverside, CA",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Indianapolis, IN",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Cleveland, OH",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Knoxville, TN",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Lockport, NY",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Durham, NC",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Blue Springs, MO",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Marietta, GA",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
"Prairie Village, KS",1,69.70%,12.12%,9.09%,3.03%,3.03%,3.03%,  No problems detected ,Google-Fiber,Is the service down,Tue 23 Jul 2019,13:10:32
