Location,Reports,Internet,TV,TotalBlackout,Wi-fi,E-mail,Phone,Status,Provider,Source,Date collected,Time collected
"Omaha, NE",572,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",499,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Des Moines, IA",266,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Minneapolis, MN",245,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",189,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Cedar Rapids, IA",173,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"New Orleans, LA",91,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Camanche, IA",90,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"St. Louis, MO",88,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"West Des Moines, IA",86,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Urbana, IL",85,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Saint Paul, MN",81,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",81,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Iowa City, IA",78,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Birmingham, AL",75,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"De Witt, IA",66,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",62,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Columbus, GA",59,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Ankeny, IA",57,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Ottumwa, IA",51,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Milton, FL",51,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",50,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Kent, IL",48,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Council Bluffs, IA",44,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Davenport, IA",43,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Washington, D.C., DC",41,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",40,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Elkhorn, NE",39,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Ames, IA",39,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
"Bettendorf, IA",38,68.02%,12.95%,7.14%,5.19%,4.85%,1.84%,  No problems detected ,Mediacom,Is the service down,Tue 23 Jul 2019,13:10:32
