Location,Reports,Internet,TV,TotalBlackout,Wi-fi,E-mail,Phone,Status,Provider,Source,Date collected,Time collected
"Charlotte, NC",2453,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Los Angeles, CA",2416,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Dallas, TX",2334,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Chicago, IL",1742,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Brooklyn, NY",1603,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Houston, TX",1339,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Atlanta, GA",1309,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Orlando, FL",1040,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"New York City, NY",806,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Tampa, FL",756,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Detroit, MI",648,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Austin, TX",638,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Kansas City, MO",609,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Cleveland, OH",486,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"San Antonio, TX",480,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Dayton, OH",474,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"St. Louis, MO",467,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Raleigh, NC",418,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Buffalo, NY",417,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Indianapolis, IN",393,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Akron, OH",369,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"The Bronx, NY",367,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Louisville, KY",361,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Cincinnati, OH",350,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Fort Worth, TX",331,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Minneapolis, MN",307,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Roseville, MI",289,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Seattle, WA",280,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Honolulu, HI",280,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
"Sacramento, CA",276,64.21%,12.02%,8.36%,7.08%,5.57%,2.76%,  Some problems detected ,charter-communications,Is the service down,Tue 23 Jul 2019,13:10:32
